Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2461.30	6407_2-2	33.32	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.40	6407_2-2	32.15	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.50	6407_2-2	29.69	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.60	6407_2-2	26.93	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.70	6407_2-2	23.94	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.80	6407_2-2	22.78	Sandstone	 	 	100.00	0.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2461.90	6407_2-2	22.47	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.00	6407_2-2	22.22	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.10	6407_2-2	22.12	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.20	6407_2-2	22.02	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.30	6407_2-2	22.13	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.40	6407_2-2	22.30	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.50	6407_2-2	22.47	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.60	6407_2-2	22.49	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.70	6407_2-2	22.49	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.80	6407_2-2	22.39	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2462.90	6407_2-2	22.11	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.00	6407_2-2	21.83	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.10	6407_2-2	21.55	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.20	6407_2-2	21.42	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.30	6407_2-2	21.31	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.40	6407_2-2	21.35	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.50	6407_2-2	21.60	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.60	6407_2-2	22.25	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.70	6407_2-2	22.89	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.80	6407_2-2	23.00	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2463.90	6407_2-2	23.06	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.00	6407_2-2	23.05	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.10	6407_2-2	22.98	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.20	6407_2-2	22.91	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.30	6407_2-2	22.90	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.40	6407_2-2	22.92	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.50	6407_2-2	22.93	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.60	6407_2-2	23.13	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.70	6407_2-2	23.50	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.80	6407_2-2	23.87	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2464.90	6407_2-2	24.24	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.00	6407_2-2	24.62	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.10	6407_2-2	25.09	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.20	6407_2-2	25.63	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.30	6407_2-2	26.17	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.40	6407_2-2	26.39	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.50	6407_2-2	26.37	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.60	6407_2-2	26.32	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.70	6407_2-2	25.76	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.80	6407_2-2	24.96	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2465.90	6407_2-2	24.27	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.00	6407_2-2	24.03	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.10	6407_2-2	23.79	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.20	6407_2-2	23.86	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.30	6407_2-2	24.04	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.40	6407_2-2	24.54	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.50	6407_2-2	25.16	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.60	6407_2-2	25.75	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.70	6407_2-2	26.34	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.80	6407_2-2	26.93	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2466.90	6407_2-2	26.95	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.00	6407_2-2	26.87	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.10	6407_2-2	26.74	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.20	6407_2-2	26.54	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.30	6407_2-2	26.32	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.40	6407_2-2	26.10	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.50	6407_2-2	25.88	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.60	6407_2-2	25.65	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.70	6407_2-2	25.59	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.80	6407_2-2	25.57	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2467.90	6407_2-2	25.78	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.00	6407_2-2	26.05	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.10	6407_2-2	26.32	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.20	6407_2-2	26.60	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.30	6407_2-2	26.87	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.40	6407_2-2	27.14	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.50	6407_2-2	27.08	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.60	6407_2-2	27.02	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.70	6407_2-2	26.96	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.80	6407_2-2	26.90	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2468.90	6407_2-2	26.84	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.00	6407_2-2	26.78	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.10	6407_2-2	26.72	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.20	6407_2-2	26.66	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.30	6407_2-2	26.63	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.40	6407_2-2	27.13	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.50	6407_2-2	27.57	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.60	6407_2-2	27.98	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.70	6407_2-2	28.39	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.80	6407_2-2	28.51	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2469.90	6407_2-2	28.48	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.00	6407_2-2	28.46	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.10	6407_2-2	28.43	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.20	6407_2-2	28.21	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.30	6407_2-2	27.96	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.40	6407_2-2	27.71	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.50	6407_2-2	27.52	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.60	6407_2-2	27.37	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.70	6407_2-2	27.36	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.80	6407_2-2	27.51	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2470.90	6407_2-2	27.66	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2471.00	6407_2-2	27.75	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2471.10	6407_2-2	27.77	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Ovre_midtre_strandskraning	DELTA_FRONT
2471.20	6407_2-2	27.71	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.30	6407_2-2	27.54	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.40	6407_2-2	27.36	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.50	6407_2-2	27.24	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.60	6407_2-2	27.24	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.70	6407_2-2	27.49	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.80	6407_2-2	28.34	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2471.90	6407_2-2	29.20	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.00	6407_2-2	29.92	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.10	6407_2-2	30.31	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.20	6407_2-2	30.28	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.30	6407_2-2	30.15	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.40	6407_2-2	29.94	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.50	6407_2-2	29.72	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.60	6407_2-2	29.64	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.70	6407_2-2	29.61	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.80	6407_2-2	29.58	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2472.90	6407_2-2	29.70	 	 	 	100.00	0.00	0.00	 	 		DELTA_FRONT
2473.00	6407_2-2	29.98	 	 	 	100.00	0.00	0.00	 	 	TRANSGRESSION	DELTA_FRONT
2473.10	6407_2-2	30.26	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.20	6407_2-2	30.55	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.30	6407_2-2	30.76	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.40	6407_2-2	30.87	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.50	6407_2-2	30.92	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.60	6407_2-2	30.82	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.70	6407_2-2	30.72	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.80	6407_2-2	30.62	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2473.90	6407_2-2	30.52	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.00	6407_2-2	30.42	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.10	6407_2-2	30.52	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.20	6407_2-2	30.64	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.30	6407_2-2	30.76	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.40	6407_2-2	30.89	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.50	6407_2-2	31.24	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.60	6407_2-2	31.64	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.70	6407_2-2	32.41	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.80	6407_2-2	33.40	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2474.90	6407_2-2	34.48	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.00	6407_2-2	35.04	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.10	6407_2-2	35.60	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.20	6407_2-2	35.81	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.30	6407_2-2	35.78	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.40	6407_2-2	35.41	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.50	6407_2-2	35.03	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.60	6407_2-2	34.42	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.70	6407_2-2	33.69	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.80	6407_2-2	32.61	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2475.90	6407_2-2	31.49	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2476.00	6407_2-2	30.04	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2476.10	6407_2-2	28.29	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2476.20	6407_2-2	25.68	Sandstone	Shale	 	97.00	3.00	0.00	vf/f	vf/f	TRANSGRESSION	DELTA_FRONT
2476.30	6407_2-2	22.95	 	 	 	100.00	0.00	0.00	 	 		
2476.40	6407_2-2	21.32	 	 	 	100.00	0.00	0.00	 	 		
2476.50	6407_2-2	20.53	 	 	 	100.00	0.00	0.00	 	 		
2476.60	6407_2-2	20.17	 	 	 	100.00	0.00	0.00	 	 		
2476.70	6407_2-2	19.97	 	 	 	100.00	0.00	0.00	 	 		
2476.80	6407_2-2	19.76	 	 	 	100.00	0.00	0.00	 	 		
2476.90	6407_2-2	19.60	 	 	 	100.00	0.00	0.00	 	 		
2477.00	6407_2-2	19.51	 	 	 	100.00	0.00	0.00	 	 		
2477.10	6407_2-2	19.42	 	 	 	100.00	0.00	0.00	 	 		
2477.20	6407_2-2	19.34	 	 	 	100.00	0.00	0.00	 	 		
2477.30	6407_2-2	19.23	 	 	 	100.00	0.00	0.00	 	 		
2477.40	6407_2-2	19.07	 	 	 	100.00	0.00	0.00	 	 		
2477.50	6407_2-2	18.90	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2477.60	6407_2-2	18.73	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2477.70	6407_2-2	18.52	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2477.80	6407_2-2	18.31	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2477.90	6407_2-2	18.39	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.00	6407_2-2	18.51	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.10	6407_2-2	18.62	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.20	6407_2-2	18.74	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.30	6407_2-2	18.65	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.40	6407_2-2	18.56	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.50	6407_2-2	18.51	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.60	6407_2-2	18.69	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.70	6407_2-2	18.96	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.80	6407_2-2	19.33	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2478.90	6407_2-2	19.71	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.00	6407_2-2	20.07	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.10	6407_2-2	20.11	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.20	6407_2-2	20.14	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.30	6407_2-2	20.05	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.40	6407_2-2	19.99	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.50	6407_2-2	20.19	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.60	6407_2-2	20.32	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.70	6407_2-2	20.01	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.80	6407_2-2	19.70	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2479.90	6407_2-2	19.39	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.00	6407_2-2	19.07	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.10	6407_2-2	18.76	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.20	6407_2-2	18.54	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.30	6407_2-2	18.34	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.40	6407_2-2	18.15	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.50	6407_2-2	17.95	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.60	6407_2-2	17.75	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.70	6407_2-2	17.67	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.80	6407_2-2	17.63	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2480.90	6407_2-2	17.60	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2481.00	6407_2-2	17.60	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2481.10	6407_2-2	17.58	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2481.20	6407_2-2	17.38	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2481.30	6407_2-2	17.17	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
2481.40	6407_2-2	17.40	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Hovedsaklig_ovre_stranskraning	PROXIMAL_DELTA_FRONT
